index|word_index|ja|hrkt|latn|en|image|sound
59|29|<b>子供</b>はカレーライスが好きです。|<b>こども</b> は カレーライス が すき です。|<b>kodomo</b> ha kare-raisu ga suki desu.|Kids like curry and rice.|sentence_59.jpg|sentence_59.mp3
60|30|私も<b>そう</b>思います。|わたし も <b>そう</b> おもいます。|watashi mo <b>sou</b> omoimasu.|That's what I think too.|sentence_60.jpg|sentence_60.mp3
61|30|彼女は<b>そう</b>言いました。|かのじょ は <b>そう</b> いいました。|kanojo ha <b>sou</b> iimashita.|She said so.||sentence_61.mp3
62|31|彼は<b>もう</b>帰りました。|かれ は <b>もう</b> かえりました。|kare ha <b>mou</b> kaerimashita.|He's already gone home.|sentence_62.jpg|sentence_62.mp3
63|31|<b>もう</b>お金が無くなりました。|<b>もう</b> おかね が なくなりました。|<b>mou</b> okane ga nakunarimashita.|I've run out of money already.|sentence_63.jpg|sentence_63.mp3
64|32|彼は真面目な<b>学生</b>です。|かれ は まじめな <b>がくせい</b> です。|kare ha majimena <b>gakusei</b> desu.|He's a serious student.|sentence_64.jpg|sentence_64.mp3
65|32|僕は<b>学生</b>です。|ぼく は <b>がくせい</b> です。|boku ha <b>gakusei</b> desu.|I'm a student.|sentence_65.jpg|sentence_65.mp3
66|33|このスープはとても<b>熱い</b>。|この スープ は とても <b>あつい</b>。|kono su-pu ha totemo <b>atsui</b>.|This soup is very hot.|sentence_66.jpg|sentence_66.mp3
67|33|私のお祖母ちゃんは<b>熱い</b>お茶が好きです。|わたし の おばあちゃん は <b>あつい</b> おちゃ が すき です 。|watashi no obaachan ha <b>atsui</b> ocha ga suki desu .|My grandmother likes hot tea.||sentence_67.mp3
68|34|こちらへ<b>どうぞ</b>。|こちら へ <b>どうぞ</b>。|kochira he <b>douzo</b>.|This way please.|sentence_68.jpg|sentence_68.mp3
69|34|次の方、<b>どうぞ</b>。|つぎ の かた、<b>どうぞ</b>。|tsugi no kata,<b>douzo</b>.|Next please.|sentence_69.jpg|sentence_69.mp3
70|35|明日の<b>午後</b>、お客様が来る。|あす の <b>ごご</b> おきゃくさま が くる。|asu no <b>gogo</b> okyakusama ga kuru.|A guest is coming to visit tomorrow afternoon.|sentence_70.jpg|sentence_70.mp3
71|35|<b>午後</b>8時に大阪に着きます。|<b>ごご</b> 8 じ に おおさか に つきます。|<b>gogo</b> 8 ji ni oosaka ni tsukimasu.|I will arrive in Osaka at 8:00 pm.|sentence_71.jpg|sentence_71.mp3
72|36|彼女の髪はとても<b>長い</b>。|かのじょ の かみ は とても <b>ながい</b>。|kanojo no kami ha totemo <b>nagai</b>.|Her hair is very long.|sentence_72.jpg|sentence_72.mp3
73|36|夏は日が<b>長い</b>。|なつ は ひ が <b>ながい</b>。|natsu ha hi ga <b>nagai</b>.|Days are longer in summer.|sentence_73.jpg|sentence_73.mp3
74|37|<b>本</b>を1冊買いました。|<b>ほん</b> を 1 さつ かいました。|<b>hon</b> wo 1 satsu kaimashita.|I bought one book.|sentence_74.jpg|sentence_74.mp3
75|37|この<b>本</b>はすごく面白かった。|この <b>ほん</b> は すごく おもしろかった。|kono <b>hon</b> ha sugoku omoshirokatta.|This book was very interesting.|sentence_75.jpg|sentence_75.mp3
76|38|<b>今年</b>はイタリアに旅行したい。|<b>ことし</b> は イタリア に りょこう したい。|<b>kotoshi</b> ha itaria ni ryokou shitai.|I want to travel to Italy this year.|sentence_76.jpg|sentence_76.mp3
77|38|<b>今年</b>は雨が少ないです。|<b>ことし</b> は あめ が すくない です。|<b>kotoshi</b> ha ame ga sukunai desu.|There's not much rain this year.|sentence_77.jpg|sentence_77.mp3
78|39|彼女は<b>よく</b>旅行に行きます。|かのじょ は <b>よく</b> りょこう に いきます。|kanojo ha <b>yoku</b> ryokou ni ikimasu.|She often goes on holiday.|sentence_78.jpg|sentence_78.mp3
79|39|彼は<b>よく</b>映画を見ます。|かれ は <b>よく</b> えいが を みます。|kare ha <b>yoku</b> eiga wo mimasu.|He often watches movies.|sentence_79.jpg|sentence_79.mp3
80|40|<b>彼女</b>はOLです。|<b>かのじょ</b> は オーエル です。|<b>kanojo</b> ha o-eru desu.|She's an office worker.|sentence_80.jpg|sentence_80.mp3
81|40|<b>彼女</b>はいつも元気だ。|<b>かのじょ</b> は いつも げんき だ。|<b>kanojo</b> ha itsumo genki da.|She's always full of energy.|sentence_81.jpg|sentence_81.mp3
82|41|あなたは<b>どう</b>思いますか。|あなた は <b>どう</b> おもいます か。|anata ha <b>dou</b> omoimasu ka.|What do you think?|sentence_82.jpg|sentence_82.mp3
83|41|私は<b>どう</b>したらいいですか。|わたし は <b>どう</b> したら いい です か。|watashi ha <b>dou</b> shitara ii desu ka.|What should I do?||sentence_83.mp3
84|42|この<b>言葉</b>の意味が分かりません。|この <b>ことば</b> の いみ が わかりません。|kono <b>kotoba</b> no imi ga wakarimasen.|I don't understand the meaning of this word.|sentence_84.jpg|sentence_84.mp3
85|42|<b>言葉</b>に気を付けてください。|<b>ことば</b> に き を つけて ください。|<b>kotoba</b> ni ki wo tsukete kudasai.|Watch your mouth.||sentence_85.mp3
86|43|彼はタオルで<b>顔</b>を拭きました。|かれ は タオル で <b>かお</b> を ふきました。|kare ha taoru de <b>kao</b> wo fukimashita.|He wiped his face with a towel.|sentence_86.jpg|sentence_86.mp3
87|43|早く<b>顔</b>を洗いなさい。|はやく <b>かお</b> を あらいなさい。|hayaku <b>kao</b> wo arainasai.|Hurry up and wash your face.|sentence_87.jpg|sentence_87.mp3
88|44|会議は4時に<b>終わります</b>。|かいぎ は 4 じ に <b>おわります</b>。|kaigi ha 4 ji ni <b>owarimasu</b>.|The conference ends at four o'clock.|sentence_88.jpg|sentence_88.mp3
89|44|やっと仕事が<b>終わりました</b>。|やっと しごと が <b>おわりました</b>。|yatto shigoto ga <b>owarimashita</b>.|Finally, I finished my work.|sentence_89.jpg|sentence_89.mp3
90|45|それを<b>一つ</b>ください。|それ を <b>ひとつ</b> ください。|sore wo <b>hitotsu</b> kudasai.|Please give me one of those.|sentence_90.jpg|sentence_90.mp3
91|45|問題が<b>一つ</b>あります。|もんだい が <b>ひとつ</b> あります。|mondai ga <b>hitotsu</b> arimasu.|There's one problem.|sentence_91.jpg|sentence_91.mp3
92|46|この本、あなたに<b>あげます</b>。|この ほん、あなた に <b>あげます</b>。|kono hon,anata ni <b>agemasu</b>.|I'll give you this book.|sentence_92.jpg|sentence_92.mp3
93|46|赤ちゃんにミルクを<b>あげた</b>。|あかちゃん に ミルク を <b>あげた</b>。|akachan ni miruku wo <b>ageta</b>.|I gave the baby some milk.|sentence_93.jpg|sentence_93.mp3
94|47|<b>こう</b>小さい字は読めない。|<b>こう</b> ちいさい じ は よめない。|<b>kou</b> chiisai ji ha yomenai.|I can't read such small letters.|sentence_94.jpg|sentence_94.mp3
95|47|母はいつも私に「<b>こう</b>しなさい。」と言います。|はは は いつも わたし に 「<b>こう</b> しなさい。」 と いいます。|haha ha itsumo watashi ni 「<b>kou</b> shinasai.」 to iimasu.|My mother always tells to do things "this (her) way."||sentence_95.mp3
96|48|<b>学校</b>は8時半に始まります。|<b>がっこう</b> は 8 じ はん に はじまります。|<b>gakkou</b> ha 8 ji han ni hajimarimasu.|School starts at 8:30.|sentence_96.jpg|sentence_96.mp3
97|48|この<b>学校</b>は1クラス30人です。|この <b>がっこう</b> は 1 クラス 30 にん です。|kono <b>gakkou</b> ha 1 kurasu 30 nin desu.|This school has 30 people in each class.|sentence_97.jpg|sentence_97.mp3
98|49|友達が誕生日プレゼントを<b>くれた</b>。|ともだち が たんじょうび プレゼント を <b>くれた</b>。|tomodachi ga tanjoubi purezento wo <b>kureta</b>.|My friend gave me a birthday present.|sentence_98.jpg|sentence_98.mp3
99|49|父が本を<b>くれました</b>。|ちち が ほん を <b>くれました</b>。|chichi ga hon wo <b>kuremashita</b>.|My father gave me a book.||sentence_99.mp3
100|50|テストを<b>始めて</b>ください。|テスト を <b>はじめて</b> ください。|tesuto wo <b>hajimete</b> kudasai.|Please start the test.|sentence_100.jpg|sentence_100.mp3
101|50|そろそろ<b>始めましょう</b>か。|そろそろ <b>はじめましょう</b> か。|sorosoro <b>hajimemashou</b> ka.|Shall we start?|sentence_101.jpg|sentence_101.mp3
102|51|私は毎朝6時に<b>起きます</b>。|わたし は まいあさ 6 じ に <b>おきます</b>。|watashi ha maiasa 6 ji ni <b>okimasu</b>.|I get up at six o'clock every morning.|sentence_102.jpg|sentence_102.mp3
103|51|今日は7時に<b>起きました</b>。|きょう は 7 じ に <b>おきました</b>。|kyou ha 7 ji ni <b>okimashita</b>.|I got up at seven today.||sentence_103.mp3
104|52|今年の<b>春</b>は暖かいね。|ことし の <b>はる</b> は あたたかい ね。|kotoshi no <b>haru</b> ha atatakai ne.|It's warm this spring, don't you think?|sentence_104.jpg|sentence_104.mp3
105|52|私の一番好きな季節は<b>春</b>です。|わたし の いちばん すきな きせつ は <b>はる</b> です。|watashi no ichiban sukina kisetsu ha <b>haru</b> desu.|My favorite season is spring.|sentence_105.jpg|sentence_105.mp3
106|53|<b>午前</b>9時のニュースです。|<b>ごぜん</b> 9 じ の ニュース です。|<b>gozen</b> 9 ji no nyu-su desu.|Now for the 9.00 a.m. news.|sentence_106.jpg|sentence_106.mp3
107|53|ロンドンには<b>午前</b>10時に着きます。|ロンドン に は <b>ごぜん</b> 10 じ に つきます。|rondon ni ha <b>gozen</b> 10 ji ni tsukimasu.|We're going to arrive in London at 10:00 a.m.||sentence_107.mp3
108|54|<b>別</b>の本も見せてください。|<b>べつ</b> の ほん も みせて ください。|<b>betsu</b> no hon mo misete kudasai.|Please show me another book.|sentence_108.jpg|sentence_108.mp3
109|54|このTシャツの<b>別</b>の色はありますか。|この ティーシャツ の <b>べつ</b> の いろ は あります か。|kono ti-shatsu no <b>betsu</b> no iro ha arimasu ka.|Do you have this T-shirt in another color?||sentence_109.mp3
110|55|あの本を<b>どこ</b>に置きましたか。|あの ほん を <b>どこ</b> に おきました か。|ano hon wo <b>doko</b> ni okimashita ka.|Where did you put that book?|sentence_110.jpg|sentence_110.mp3
111|55|郵便局は<b>どこ</b>ですか。|ゆうびんきょく は <b>どこ</b> です か。|yuubinkyoku ha <b>doko</b> desu ka.|Where's the post office?|sentence_111.jpg|sentence_111.mp3
112|56|私の<b>部屋</b>は2階にあります。|わたし の <b>へや</b> は 2 かい に あります。|watashi no <b>heya</b> ha 2 kai ni arimasu.|My room is on the second floor.|sentence_112.jpg|sentence_112.mp3
113|56|そっちが私の<b>部屋</b>です。|そっち が わたし の <b>へや</b> です。|socchi ga watashi no <b>heya</b> desu.|That's my room over there.|sentence_113.jpg|sentence_113.mp3
114|57|彼はまだ<b>若い</b>です。|かれ は まだ <b>わかい</b> です。|kare ha mada <b>wakai</b> desu.|He's still young.|sentence_114.jpg|sentence_114.mp3
115|57|その店は<b>若い</b>客が多いです。|その みせ は <b>わかい</b> きゃく が おおい です。|sono mise ha <b>wakai</b> kyaku ga ooi desu.|That shop has a lot of young customers.|sentence_115.jpg|sentence_115.mp3
116|58|弟が<b>車</b>を買った。|おとうと が <b>くるま</b> を かった。|otouto ga <b>kuruma</b> wo katta.|My younger brother bought a car.|sentence_116.jpg|sentence_116.mp3
117|58|<b>車</b>を止めて。|<b>くるま</b>  を とめて。|<b>kuruma</b>  wo tomete.|Stop the car.|sentence_117.jpg|sentence_117.mp3
118|59|彼はかばんをいすの上に<b>置きました</b>。|かれ は かばん を いす の うえ に <b>おきました</b>。|kare ha kaban wo isu no ue ni <b>okimashita</b>.|He put the bag on the chair.|sentence_118.jpg|sentence_118.mp3
119|59|あの本をどこに<b>置きました</b>か。|あの ほん を どこ に <b>おきました</b> か。|ano hon wo doko ni <b>okimashita</b> ka.|Where did you put that book?|sentence_119.jpg|sentence_119.mp3
120|60|彼は会社の近くに<b>住んで</b>いる。|かれ は かいしゃ の ちかく に <b>すんで</b> いる。|kare ha kaisha no chikaku ni <b>sunde</b> iru.|He lives near his office.|sentence_120.jpg|sentence_120.mp3
121|60|彼はアパートに<b>住んで</b>います。|かれ は アパート に <b>すんで</b> います。|kare ha apa-to ni <b>sunde</b> imasu.|He lives in an apartment.|sentence_121.jpg|sentence_121.mp3
122|61|姉は銀行で<b>働いて</b>います。|あね は ぎんこう で <b>はたらいて</b> います。|ane ha ginkou de <b>hataraite</b> imasu.|My big sister works at a bank.|sentence_122.jpg|sentence_122.mp3
123|61|彼女はパートで<b>働いて</b>います。|かのじょ は パート で <b>はたらいて</b> います。|kanojo ha pa-to de <b>hataraite</b> imasu.|She is working part time.|sentence_123.jpg|sentence_123.mp3
124|62|この本は<b>難しい</b>ですね。|この ほん は <b>むずかしい</b> です ね。|kono hon ha <b>muzukashii</b> desu ne.|This book is difficult.|sentence_124.jpg|sentence_124.mp3
125|62|外国語を習うのは<b>難しい</b>。|がいこく ご を ならう の は <b>むずかしい</b> 。|gaikoku go wo narau no ha <b>muzukashii</b> .|Learning foreign languages is hard.|sentence_125.jpg|sentence_125.mp3
126|63|私は日本語の<b>先生</b>になりたいです。|わたし は にほん ご の <b>せんせい</b> に なりたい です。|watashi ha nihon go no <b>sensei</b> ni naritai desu.|I want to become a Japanese teacher.|sentence_126.jpg|sentence_126.mp3
127|63|彼の父親は<b>先生</b>です。|かれ の ちちおや は <b>せんせい</b> です。|kare no chichioya ha <b>sensei</b> desu.|His father is a teacher.|sentence_127.jpg|sentence_127.mp3
128|64|彼はステージに<b>立った</b>。|かれ は ステージ に <b>たった</b>。|kare ha sute-ji ni <b>tatta</b>.|He stood on stage.|sentence_128.jpg|sentence_128.mp3
129|64|道の真ん中に人が<b>立って</b>いる。|みち の まんなか に ひと が <b>たって</b> いる。|michi no mannaka ni hito ga <b>tatte</b> iru.|Someone is standing in the middle of the road.|sentence_129.jpg|sentence_129.mp3
130|65|ウェイターを<b>呼びましょう</b>。|ウェイター を <b>よびましょう</b>。|weita- wo <b>yobimashou</b>.|Let's call the waiter.|sentence_130.jpg|sentence_130.mp3
131|65|タクシーを<b>呼んで</b>ください。|タクシー を <b>よんで</b> ください。|takushi- wo <b>yonde</b> kudasai.|Please call a taxi.|sentence_131.jpg|sentence_131.mp3
132|66|<b>大学</b>に行ってもっと勉強したいです。|<b>だいがく</b> に いって もっと べんきょう したい です。|<b>daigaku</b> ni itte motto benkyou shitai desu.|I want to go to college and study more.|sentence_132.jpg|sentence_132.mp3
133|66|うちの息子は<b>大学</b>1年生です。|うち の むすこ は <b>だいがく</b> 1 ねんせい です。|uchi no musuko ha <b>daigaku</b> 1 nensei desu.|My son's a college freshman.|sentence_133.jpg|sentence_133.mp3
134|67|この服はとても<b>安かった</b>。|この ふく は とても <b>やすかった</b>。|kono fuku ha totemo <b>yasukatta</b>.|These clothes were very cheap.|sentence_134.jpg|sentence_134.mp3
135|67|あの店は魚が<b>安い</b>です。|あの みせ は さかな が <b>やすい</b> です。|ano mise ha sakana ga <b>yasui</b> desu.|The fish at that store is cheap.||sentence_135.mp3
136|68|<b>もっと</b>近くに来てください。|<b>もっと</b> ちかく に きて ください。|<b>motto</b> chikaku ni kite kudasai.|Please come closer.|sentence_136.jpeg|sentence_136.mp3
137|68|<b>もっと</b>ゆっくり話してください。|<b>もっと</b> ゆっくり はなして ください。|<b>motto</b> yukkuri hanashite kudasai.|Please speak more slowly.|sentence_137.jpg|sentence_137.mp3
138|69|家に<b>帰ろう</b>。|うち に <b>かえろう</b>。|uchi ni <b>kaerou</b>.|Let's go home.|sentence_138.jpg|sentence_138.mp3
139|69|彼はもう<b>帰りました</b>。|かれ は もう <b>かえりました</b>。|kare ha mou <b>kaerimashita</b>.|He's already gone home.|sentence_139.jpg|sentence_139.mp3
140|70|質問の意味は<b>分かりました</b>か。|しつもん の いみ は <b>わかりました</b> か。|shitsumon no imi ha <b>wakarimashita</b> ka.|Did you understand the meaning of the question?|sentence_140.jpg|sentence_140.mp3
